userName,score,at,content
Wulandari Wahyuni,1,2023-05-18 16:00:41,"ya ampun baru diperbaharui malah ngelag mulu, mau belanja tiba2 layar putih ga bisa ngapa2in, harus keluar lagi dari apk.. jgn cuma kasih saran suruh clear chace, suruh log out terus log in lagi, dikata suruh cek jaringan, suruh cek memori.. semuanya udah admin.. tetep begitu dan banyak yg komplain.. coba diperbaiki.."
MAS YUHAN,3,2023-05-18 15:57:04,"Baru instal shopee udah loading aja. Dulu (4taun lewat) aplikasi shopee di uninstal gara-gara loading lama. Sekarang hp saya udah ganti lalu instal lagi aplikasi shopee,malah lama juga loadingnya. Bingung saya."
Nonik Susan,3,2023-05-18 15:51:54,Hari ini games shopee ngga bisa diakses muter 99% mulu. Aplikasinya jugan makin lelet. Padahal selalu update versi terbaru. Gratis ongkir juga cuma dikit aja
Jefry Setyawan,1,2023-05-18 15:43:24,"Kenapa siihh shopee lemot banget di android sedangkan di ios bisa lancarr, yg saya tanyakan bukan msalah jaringan yaa tapi pas di operasikan di dalemnya lemot sekali kadang dipencet gamau kadang dipencet delay sekali gimana nihhh, update tpi tidak merubah sama sekali. Kecewa sii soalnya pengguna lama. Mohon perhatiannya"
comet property,1,2023-05-18 15:41:11,"Kasih 1 aja,soalnya spinjam masih ga bisa dipake,kalo udah bisa baru kasih bintang lagi,, padahal udah ikutin arahan syarat dan ketentuan,semisal bayar spaylater udah tertib,sebelom jatuh tempo udah dibayar,masih aja spinjam ga bisa digunakan, sempat uninstall apk shopee nya,tapi malah dikirim notif Mulu,pas di download lagi kirain udah bisa dipake,eh tetep aja ga bisa spinjamnya kena Frank notif Mulu 🤣"
Abid Fikri,2,2023-05-18 15:17:34,"Tidak bisa jualan di shopee, bukan karena jaringannya bukan karena cache/sampah sering reload ketika mau menambah produk baru kadang di galery fotonya lenyap ketika mau menambah produk kadang produknya tidak muncul di pencarian kecewa 😒 gitu aja sih"
Ratih ind,1,2023-05-18 14:58:58,"Shoope yg sekarang beda dengan yang dulu, cashback suka pandang bulu, gratis ongkirnya juga pilih², please balikin ke yang dulu aja banyak freeongkir dan cashback tanpa pandang bulu. Terlalu banyak s&k, koin juga pelit, aplikasinya lola"
Tomi Prandes,5,2023-05-18 14:31:10,"Smooth lancar jaya, tidak perlu top up, tidak pay to win, kadang2 masih lag untuk sekelas HP saya yang RAM 20GB, tolong diperbaiki masih suka keluar sendiri, padahal jomblo, oalah mblo jomblo."
Syahroni Adnan,1,2023-05-18 14:21:32,"Dulu ini app ini bener² free, murah, mudah. Sekarang semua kena charge. Biaya layanan. Biaya penanganan. Kalo transfer bank kena biaya lagi. Yaa..walau dibilang dikit tapi kalo bolak balik belanja jadi banyak"
Andi Gunawan,1,2023-05-18 13:12:45,Saya baru download lagi.. dan seperti biasa Buka nya lamaaa banget.. apk keberatan kyknya.. perangkat hp & jaringan saya ga ada masalah buka apk sebelah langsung kebuka.. shopee payah
Henly Angel,1,2023-05-18 13:11:35,"Aplikasi lemot kebanyakan bug, kualitas shopee jadi turun gara2 aplikasi yg lemot. Tolong diperbaiki agar kualitasnya lebih bagus lagi"
Indri Mutia,3,2023-05-18 13:04:29,"Ko lelet ya pas mau buka shopee ny,trus kalo menurut aku sih ga semua hp orang memori hp ny byk harus update ,kalo dulu kan ga di update bisa² aja ga lelet juga ,sering keluar sendiri"
Mira Victronela,3,2023-05-18 12:16:34,"Sumpah demi apapun lemot bgt sumpah. Gue mau checkout barang tiba2 balik lagi ke halaman utama anjir, kasih tau ke pemogramnya klo bebannya terlalu berat udahan aja gpp kok. gue jadi males pake shopee lagi demi dah"
flash gaming,1,2023-05-18 12:02:53,"aplikasi amat sangat lemot, walaupun di gunakan di processor SDM 8 gen 1 dengan RAM 6GB, jaringan 5G, masih sangat lmbat untuk transaksi pembayaran lading sangat lambat, padahal rutin clear chache aplikasi"
Laila Qodri,1,2023-05-18 12:00:09,"Ini gimana ya? Aplikasinya ngelag padahal jaringan sangat stabil, tapi mau buka pencarian tetap ngelag..."
Bagas Berdono,1,2023-05-18 11:36:18,"Terlalu banyak muncul notifikasi yang tidak perlu server sangatlah lemot untuk membuka foto review barang padahal jaringan 4G+,lemooottttt!"
Baim Bolang,1,2023-05-18 11:26:25,"Berat... Berat. Lama² sperti ta# -Uda ganti hp yg lebih besar ram nya, sama beli memory yg bagus yg ory yg besar kapisitasny, biar ram nya tmbh besar. -uda di perbarui gaperna telat -uda hapus semua data. -uda unnistal lalu download lg. Kurang apa lg? Solusinya apa lg? 🤦"
om Paitt,4,2023-05-18 11:12:43,"Tiap kali membuka aplikasi pasti koneksi internet terputus beberapa detik.seakan2 shopee ingin mematikan koneksi aplikasi lain yg sedang berjalan. ❓ *** Sudah kuduga jawabannya akan seperti ini. Jangan merasa paling bener deh. yg bermasalah itu APLIKASINYA,bukan kondisi costumer. jadi yg harus di lakukan adalah koordinasi dg team pengembang."
John S,4,2023-05-18 10:52:35,"Banyak kemudahan membeli perlengkapan bengkel, rumah dll, dibekali juga paylater. Sejauh ini sangat bagus. Saran saya yang perlu ditingkatkan aplikasi nya dibuat ringan untuk berbagai tipe HP, maksudnya jangan berat loading nya, agak lama, kadang penasaran kita jadi kalah karena loading nya lambat.."
Ayu Bidra,5,2023-05-18 10:38:46,"Pake shopee memudahkan kita shoping, bisa beli dari rumah, bisa cod atau mbanking dan yg lebih mudah klo belum ada uang untuk beli barang mahal bisa nyicil juga. Harga lebih murah dan keseringan dapet free ongkir. Terimakasih Shopee, semoga kedepannya bisa memudahkan dan membuat pengguna lebih puas lagi ya...😍 Semoga Shopee semakin jaya😇🙏"
Elin Parlinah,5,2023-05-18 09:47:57,"Wahh gak tau kenapa kalau pake shopee rasanya tuh gampang banget banyak banget promo,dan diskon. Suka banget deh sama aplikasi ini. Bisa Cod juga.mudah dipakai lagi. poko nya Yuhuuu🥳🤩 SBL SBL SBL,suka banget lohh🌺✨"
afrita tridamayanti,2,2023-05-18 09:44:40,"Ini kenapa aplikasi shopee jadi begini. Masa mau beli barang, giliran klik buat pesanan loading nya sampe 3 menit belum kebuka juga. Pas buka keranjang juga sama aja capek nungguin loading, padahal sinyal kencang"
Adhot Smith,2,2023-05-18 09:17:58,"Sebetulnya apk shopee itu sangat membantu sekali, tapi aplikasinya lelet, mungkin terlalu banyak fitur apk nya, jadi semakin banyak sampahnya."
Firmatus Hia,1,2023-05-18 08:37:14,Hp Ram 8Gb jaringan 4G+ tetap aja ga sempurna bukak aplikasinya. Semakin update semakin kacau. Terpaksa beralih ke Tiktok Shop.
Teguh Priyono,5,2023-05-18 08:26:29,"Alhamdulillah jd suka berbelanja yg aneh2 🤣. Sayang dpt koinnya suk berkurang skr setiap kasih ulasan. Mohon di benerin Boosku. Suka lama loadingnya skr,,,, malah sampai mati layar ini Apk masih proses loading muter2 spt obat nyamuk 😥"
Ahmad Syihabudin Budin,5,2023-05-18 08:05:09,"Sudah semakin baik dan semoga tambah baik lagi,utama utk seller-Seller bermasalah,yg menjual barang2 tidak sesuai bisa di Kick /blok langsng, semoga kedepan shoppe semakin jaya dan kuat."
Latifah Mega Zulia,3,2023-05-18 07:58:58,Lemot. Kudu instal 2 kali padahal jaringan lancar jaya. Agak kocak dikit tpi gapapa krn cuma shopee apk belanja terpercaya. Makasih.
Fantasy Gamers,5,2023-05-18 06:13:56,"Sebenarnya, app nya udah bagus, selalu menayangkan saran produk baru yang menarik dan sebagainya. Tapi sepertinya ada bug di game Shopee Capit nya; setiap kali main yang bagian bonus, saat mau capit koin, malah jatuh lagi alias tidak terambil. Jadinya rugi. Sudah 3 kali (900 koin habis) dan terus gagal, padahal koinnya pas banget dibawah capitan nya, jadi seharusnya langsung bisa terambil dong? Tolong diperbaiki bug nya. Jaringan internet lancar jaya, tapi kok app nya malah error terus??"
Asri Restiana,1,2023-05-18 05:51:48,"Saya sudah mengisi saldo shope pay saya tetapi malah tidak bisa untuk membeli barang dll , termasuk tidak bisa TF ke siapapun Saya Sangat Sangat Kecewa."
Sulistia Wati,2,2023-05-18 05:27:31,Ini aplikasinya stelah di update malah makin lemot..pesanan saya sampai dibatalkan gara² loading shopeepay lama sekali..tolong diperbaiki lagi sebelum para pengguna beralih ke yg lain
Mas Henry,1,2023-05-18 04:58:15,"Developer apk nya gimana dah, niat mau komplitin apk malah makin bnyk bug. Pencarian barang di toko yang sama gk ditemukan, padahal jelas ada. Sudah DN smpe email bilang nya restart, cache sm jaringan 🤣 jgn maksain ada Shopee video 🤣cukup ig, tekotok, FB dan YouTube short"
Dara Afrida,1,2023-05-18 04:57:49,"Aplikasi nya sangat lelet, bug yang sngt"" tidak bisa log in tidak bisa checkout mohon lah di perbaiki secepat mngkin"
CAK UCUP 2021,5,2023-05-18 04:46:36,"Untuk belanja on line sangat membantu sekali, tapi iklan yg ada pd permainan/game on line sering mengganggu krn tidak bisa di skip walau durasi iklannya sudah habis"
Aep,5,2023-05-18 04:27:24,Shopee tempat jual beli dan amanah Aplikasi tidak ribet dan sangat mudah bagi kaum awam yg berbelanja gratis ongkir dan bisa COD ( bayar di tempat ) mempunyai barang impian yg belum terbeli shopee juga memiliki paylater untuk tempo barang yg kita impikan
Jessica Sao,3,2023-05-18 04:26:06,"Shopee makin lelet dan banyak eror sekarang, dan nunggu perbaikannya itu lumayan lho, kadang sampe ga dibuka berminggu-minggu / install-hapus-install berkali-kali. Tolong lebih diperbaiki ya sistemnya"
Januari Rahayu,3,2023-05-18 03:37:07,"Pencarian dalam toko eror, jadi untuk beli barang dalam satu toko kurang nyaman, mesti dicari manual karena walaupun barang ada dalam toko tetap dinyatakan tidak ada jika hanya sebatas diketik dipencarian"
denik kurniawan,2,2023-05-18 02:56:33,Tolong di perbaiki aplikasinya semakin lemot saat scroll2. Dan semakin berat. Sering sekali tidak bisa di kembalikan saat melihat2 produk. Harus di close dulu baru di buka lagi. Jadi badmood mau belanja pun. TOLONG PERBAIKI !!
Femalea Ayu Anggraini,1,2023-05-18 02:45:15,"PLSSS BANGET INI LEMOTTTTTTTTTTT,mau buka pesenan aja didiemin sampe semaleman ga ke buka-buka.udah saya apus data sama cache trus balik lagi login tetep aja lemot huh,padahal ini jadi apk belanja online alternatif dan udah suka eh sekarang jadi kecewa bggggt mending perbaiki dulu peformanya baru nambah fitur baru"
Violla Nana,2,2023-05-18 02:21:03,"SHOPEEE Astaghfirullah kok di-update makin gini seeeee. Buat buka video gak bisa, buat scrol lemotnya astaghfirullah. Tolonglah diperbaiki lagi, ini loading berat banget :(( Jaringan saya lelet? Saya udah pakai wifi, udah pakai data juga masih tetep samaaa. Nyaman pakai yang versi dulu, eh gak bisa kudu update aplikasi. Barang udah di-update bikin gak nyaman. Tolonglah kak diperbaiki :(( terimakasih."
Hermien Noorhajati,4,2023-05-18 00:02:04,"Th 2021 bnyk fasilitas gratis ongkir dr shopee. Shngg bnyk beli ber.macam² barang krn iseng&bkn kebutuhan, tergiur hrg murah &freeongk. Tks Shopee utk program friongk. Saat ultah th 2022 sy kira platinum dpt hadiah sesuatu, meski murah tpi bs jdi kenangan, nonsens.. Katanya ada gratis ongkir 0rp. Trnyata jg tetap ongkir biasa, tidak usah janji jk memang tdk ada hadiah apapun... MENGECEWAKAN. Agar bs beli barang lagi yg kita cocok, bgmn cara mnyimpan seler/tokonya. Aplikasinya sering lemot."
pak long Maul,1,2023-05-17 23:55:58,"kurang kalau shopee ini, cuma telat berapa hari aja limit juga untuk pembayaran ngk besar, lalu akun saya di blok, ahh bukannya kita tidak bayar, kecuali dalam berapa bulan ngk baya iyalah, belum sampai 1 bulan aja udah seperti itu."
Upik Hinelo,5,2023-05-17 23:39:44,"sangat senang dengan aplikasi shopee,,selain bisa pesan berbagai macam kebutuhan juga bisa menghasilkan koin2 yang membantu mengisi pulsa meskipun hanya sedikit,ya alhamdulillah"
Hendr Cahyadi,5,2023-05-17 19:04:00,Saya sangat puas belanja di shopi TK perlu lg keluar rumah untuk pelanja karna apa yg kita inginkan smua ada di shopi soal kualitas tergantung dgn harganya !!!!!
riyan setiawan,5,2023-05-17 17:35:25,"Sangat membantu, baik anak muda maupun dewasa. Terutama kami yang berdomosili di pelosok yang jarang menemukan tempat perbelanjaan lengkap. Dengan adanya aplikasi ini bisa memilih barang² yang kita butuhkan dengan mudah."
abdul gofur,1,2023-05-17 17:27:15,"Video gak bisa di lihat, gak bisa chat, loading nya lemot... Mau daftar slater susah banget.. gagal terus... Padahal saya banyak pembelian... Kok pada banyak bug sih.."
Mutiara Sani,1,2023-05-17 16:17:40,"Abis di perbarui malah lemot kaya gak berfungsi, kalo gak diperbarui gak bisa dibuka. Ah elah yg tadinya bagus nih aplikasi malah jadi jelek begini."
Iko Shape,5,2023-05-17 16:10:45,"Enak belanja di apl ini, nyaman karna ada hiburan nonton videonya dan dpat bayaran, dan moga aja kalo update2 yg akan datang gak kek apl yg lain yg awal nya emang nyaman dipake karena membayar lama kelamaan tiap update malah macet bayarnya. Selama ini shopee masih yang terbaik dlm hal memberikan pilihan video dari berbagai jenis genre, saya menyarankan buat pengguna yg ingin mencari hiburan dan cari cuan sambil belanja aplikasi ini sangat cocok"
ACHMAT ZANURI,3,2023-05-17 15:35:10,"Dalam pencarian dalam suatu toko contoh samsung tapi yg muncul pencarian tidak ada, seharusnya yg berhubungan sama samsung harus ditampilkan. Mohon bisa jadi pertimbangan"
Bu Keswa,5,2023-05-17 13:40:32,"Barang2 yg sudah sy beli di shopee kualitasnya bagus dan memuaskan,.. sesuai ekspektasi, pelayanan kurirnya ramah2 semua.Semoga semua lancar dan sukses selalu, terimakasih 🙏🙏🙏"
Dini Anggraini,3,2023-05-17 13:01:50,"Hai shopee Semenjak di update app nya semakin lemot. Padahal jaringannya baik"" aja. Banyak bug nya, niatnya gk diupdate tapi appnya rewel. Setelah di update gk semakin baik tapi semakin lemot. Huh...."
Nelisa Cung,2,2023-05-17 12:24:48,"Makin di update tambah lemot n error padahal udah jaringn 4G-5G, terlalu banyak iklan/bug/game x ya sehingga mempengaruhi kapasitas line😔 ini saya sudah up 3x, kloasih lemot vacum dulu dech."
Hani Hani,2,2023-05-17 11:53:31,"diupgrade yg versi baru malah tambah lemot,klw gak update yg baru versi lama jg lemot,bisa gak ya gak usah update,sebab klw di-update hp jg tambah lemot, pengguna aplikasi shopee kan kan semua hp nya bagus"
Er Win,1,2023-05-17 11:14:30,"Kenapa semenjak donwlood apaklasi ini yg baru. Vidio atau gambar banyak yg tidak bisa di buka. Aplikasi yg terbaru ini paling jelek. Bukannya tambah maju aplikasi ini, jadi tambah jelek di mata orang"
Radenmas Maulana,1,2023-05-17 10:26:31,"Skrg susah bgt pakai Free ongkir, dri yang 0 minimum pembelian sampe minimum belanja tetap gk bisa, dan ada yg gk bsa pakai COD padahal tertera tersedia COD. Kok maksa bgt wajib pakai Shopee pay dan gk dpt² free ongkir. Tapi slalu fpt program promo free ongkir maksudnya apa klo gk bsa dipakai untuk apa...!!! Sangat kecewa Shopee yg skrg."
Siti Faizah,2,2023-05-17 10:20:43,"Makin sini makin eror .kadang jalan sendiri lodingnya lama... Pernah q cuma lihat2 trus cek harga tp gk cekaut ,ok tiba2 ada paket datang,la ternyata q cek ternya buat pesanan padahal q gk pesan.. Semakin eror.."
Raffasya Aditya,3,2023-05-17 10:10:12,"Makin lama makin lambat aplikasinya, loading sering lama, padahal sudah hapus cache, tetapi tetap aja masih lambat, tidak selancar apk yg lain, makin parah ni aplikasi apknya terlalu berat"
Surya Ningsih,2,2023-05-17 09:15:40,"Ganti hp malah gk bsa melakukan pembayaran selalu tdk ada koneksi , pdhl jaringan full. Udh pake wifi juga gk bsa, pake data juga gk bs"
Herviana Hersha,1,2023-05-17 08:33:15,"Baru update knp aplikasi sering keluar sendiri, mau belanja gak bisa. Smntr shopeepay ada isinya. Gimana sih ini Lumayan. Makin ksini makin dibikin kesel"
A&B Shop,2,2023-05-17 07:53:43,Banyak yg berubah sekarang. Trutama untuk kaum gratis ongkir. Dlu bisa co banyak barang sekaligus dan gratis ongkir. Sekarang hanya bisa co 3 barang yg bisa dapet gratis ongkir. Dan setiap pembelian dikenakan biaya penangganan. Kalau dlu hanya biaya cod aja. Dan skrng isi shopee pay lewat Alfamidi/Alfamart juga dikenakan biaya penangganan.
Ling Hue,2,2023-05-17 07:35:27,Kenapa mau cari produk gak bisa ya padahal di toko nya tersedia pas di cari muncul hasil tidak di temukan... Tolong dong di perbaiki karena mau cari produk nya harus pake scrol ke bawah itu lama banget...mohon untuk pihak shopee
Rizal Amri (Wong),1,2023-05-17 07:31:24,Perlu di pertimbangkan untuk transfer duit dari shopeepay ke bank bisa2 nunggu berhari2 baru terkirim. Jadi untuk yg buru2 dipikir2 aja dulu. Aplikasinya terlalu rame jadi bikin lemot.
Sapik Sugianto,1,2023-05-17 07:05:17,Error apa ya...sekarang apk ini tuh ngebugnya masyaallah ga ngotak.Padahal jaringan enak dan hp juga enak. Kok bisa....??gambarnya sering ga muncul lama bgt
Rudi Yanto,5,2023-05-17 06:57:34,"Harga sangat terjangkau, cuma terkadang proses dan pengiriman sedikit lama, juga skrng tidak ada tampilan maap untuk melacaknya, semoga aj kedepannya bisa diperbaiki dan harga ny pun dibuat lebih murah lagi, rekomend untuk blm instal aplikasi ini"
Samsul Acep,1,2023-05-17 06:37:57,Makin ke sini makin gak jelas ini aplikasi... Dulu enak suka membantu tp sekarang semakin ribet saja... Cara perivikasi nya gak jelas... Tambah sering bug... Sangat di sayangkan aplikasinya...
Rahmat Hidayanto,3,2023-05-17 06:06:22,"Tolong dong aplikasi shopee pay berdiri sendiri, seperti dana,ovo,linkaja, ekosistemnya kan sudah besar. Dan aplikasi nya tidak berat. Biar sama seperti gojek. Pasti dijamin tambah oke. Peminatnya banyak."
Dewi SF,1,2023-05-17 05:35:05,"Bener-bener bikin kesel shopee yg sekarang. Update versi terbaru malah gabisa dibuka sama sekali. Mau beli paket data loading 5 menit gajadi jadi. Masalah chance udh dibersihin berkali kali. Jaringan juga gaada masalah. Di aplikasi lain lancar lancar aja. Tolong dong ini yg bermasalah dri shopeenya sendiri. Tolong dibenerin lagi aplikasinya ,kebanyakan bug video2 gajelas malah bikin aplikasinya berat."
ABA_ Garage,1,2023-05-17 05:24:07,Sering gangguan promo gak jelas produk sering gangguan.. Udah update masih aja.. Saya pake mitra shoppe buat jual pulsa sering gangguan n lelet.. Kecewa berat..
Kaysa Salbina,5,2023-05-17 05:05:07,"SUKA BANGET SAMA APLKSI INI!!! Apalagi banyak voucher"" dan promo, tapi knp susah skli kalau mau dapet flash sale hp:( kalau bisa langsung kirim aja deh hahaha.. 99+/10 buat shopee❤"
Black Bird,1,2023-05-17 04:31:48,Kalah sama apk sebelah... ini kelemahan shoope kalo ngeleg. Serasa main game ping999+ Udah delay ketika mau mesen atau tambah ke keranjang jadi ngeganggu padahal jaringan juga udah bagus di buat ytan juga lancar buka game online juga lancar tapi buka shoope delay
murdiana murdiana,3,2023-05-17 04:14:42,"Ni aplikasi shopee kenapa dah... semakin diupdate semakin lemot. Ngelag, asik2 nyari barang tau2 tekeluar sendiri. Harus ngulang scroll lagi dri awal. Males banget..."
esti wahyuningsih,1,2023-05-17 02:06:13,Shopee express paling lambat. Kenapa gak ada pilihan ekpedisi saat order barang. Kenapa otomatis shopee express. Sudah lambat. Tidak profesional.
Nia Nia,4,2023-05-17 01:56:20,Bagus bagus. Saya jadi suka belanja online lewat shopee. Saya terbantu sekali. Terimakasih. Edit: sekarang ga banyak diskonan ya. Ada biaya pemesanan juga huhu. Jadi ratingnya aku turunin ya. Hehehe
Rizal Fotografer Pengabuan,5,2023-05-17 01:20:46,"Saya betul-betul menyarankan bagi semuanya.Bahwa Shopee paling Aman utk Belanja.Saya sdh 5 th jadi buyer di shoppe,Vocher Cashback dan free ongkir Banjir, ongkir return sebesar apapun barangnya ditanggung Shopee game jg menguntungkan dpt coin,nah utk pemakai Shopee harus di ingat, jaringan internet dan Hp harus kuat & stabil biar semua berjalan lancar, akhir kata SHOPEE IS BEST"
Eka Gilang,1,2023-05-17 01:03:09,"Spinjam/ spaylater,depcolecctor kalau bisa jangan nagih di nomer2 kontak lain kalau masih ada itikad baik untuk BAYAR,karena bisa memperburuk nama baiknya kedua pihak,thanks shopee"
Epi Dwi,1,2023-05-17 00:18:24,"Makin ngecewain perfomanya, suka lelet dan tiba2 keluar sendiri. Padahal di upgrade biar bisa lebih bagus, eh malah makin bikin emosi"
Adam Sopiyandi,3,2023-05-16 22:49:54,"Performa aplikasinya saya kurang suka, soalnya kecepatan respon aplikasi saat setelah diklik lambat sekali bahkan bisa sampai di atas 40 detik baru bisa masuk ke fitur yang dituju. Padahal untuk scroll lancar-lancar saja"
Eko Apriyanto,1,2023-05-16 20:59:46,"Transaksi transfer shopeepay ke rek saya tidak ada kejelasan, sekarang uang saya ke gantung di sistem shoppee 1.5juta. tolong tim shopee dipercepat lah gmn, uang itu saya butuh buat beli obat. Uninstall aplikasi ini aja, dari pada terjadi hal yang sama uang tdk ada kejelasan,"
martabak Manis,1,2023-05-16 20:14:31,Aplikas nya lemot banget. Login aja lama stelah login scrol scrol juga susah. Buka hp saya atau jaringan nya yang lemot. Tapi aplikasi nya
ZAMAL UDIN,1,2023-05-16 20:04:20,"Aplikasi Shopee sekarang Tidak kompetible di Android 12, Dan Semakin Berat ! Padahal internet WiFi saya sudah 500 Mbps Lo ! Sampah Aplikasi sudah di bersihkan' masih juga tidak ada perubahan ! Semakin di update, semakin Berat !"
Riswanto Ateng,5,2023-05-16 15:49:33,"Menghasilkan alhamdulillah Hanya saran saja. Shope video hilangkan saja. Karena untuk jangkauan kelas bawah, Sangat berat aplikasi. Sehingga menyebabkan lag. Mending kalo punya iphone. Lah ini hp android biasa. Terima kasih"
Tyasha Lee,2,2023-05-16 15:30:42,"Apa ini?! Udah enak pake fitur yang lama, giliran buka malah suruh force update, tapi malah jadi lemot, malesin banget buat sebuah situs belanja. Serius saya katakan. Perbaiki atau kalian akan kehilangan konsumen."
human since 2001,2,2023-05-16 15:24:43,Lemot. Mau buka shopeefood tulisannya error terus. Mau lihat produk di keranjang yg gk tersedia jg error terus.
puri astika,1,2023-05-16 15:23:27,"Untuk perihal paylater ko aneh ya, itungannya suka melampaui dri total barang yg di beli. Apa krna beli pls trs di batalin lalu beli lagi jadi double bayarnya? Soalnya sering bgt jumlah paylater melampaui totak barang"
khaerul iman,3,2023-05-16 14:28:34,"Stalh update ini shopee malah makin lelet. Pdahal udah saya update aplikasinya, dan memorinya cech juga udah saya bersikan, tpi tetap ajah lelet. Skarang saya kurang puas sama shopee. Skarang saya kasih bintang 3 buat shopee, kalau udah normal lagi akan saya tambah bintangnya"
Kiky Amellia,1,2023-05-16 14:27:48,"Sekarang kenapa dah shopee begini, lelet, lemot, suka kembali sendiri, mau check out aja susahnya tak tertolong. Ayoooo dong shopee perbaiki lagi aplikasinya, semoga cepet di perbaiki yaa"
Sedyo Raharjo,5,2023-05-16 14:25:07,"Semoga lebih baik dari versi sebelumnya, makin oke pelayanannya, tambah terus fitur fitur keren yang bikin user lebih nyaman dan setia terus mrngunakan shopee untuk belanja, nabung, jualan dll memenuhi kebutuhan nya dalam menjalali tugasnya sebagai khalifah dimuka bumi ini, maju terus shopee,"
wan,1,2023-05-16 14:25:00,"makin kesini kaya berasa delay banget apknya,apalagi klo ke event event gitu,ya selebihnya mohon diperbaiki aja masalah masalah kecilnya,tkut klo ngedelay malah kepencet-pencet kan ga bener nantinya"
Lelly,1,2023-05-16 14:19:17,"Tanya jawab nya dgn shoope nya yg skrg di bikin otomatis , padahal kita kadang pingin tanya hal lain , tapi gak bisa karena pertanyaan n jawaban sudah otomatis ,itu yg bikin tidak puas ,gak seperti dulu ,dulu kita mau nanya apa aja bisa Makanya dgn gendala ini saya hanya bisa kasih bintang 1 ,karena tidak puas dgn jawaban n pertanyaan nya yg dengan otomatis ini Kalau bisa di bikin kayak dulu ,jadi kita bebas bertanya n jawaban nya juga bisa puas"
Ichad Krav,1,2023-05-16 14:05:29,Awal nya saya suka dgn aplikasi ini. Karena jujur mempermudah saya dlm usaha jualan online ke customer dipelosok Kalimantan Utara. Namun makin kesini makin lelet. Jadi saya putuskan akan saya coba selama sebulan lagi. Kalo masih lelet saya Out dari Aplikasi ini 🙏
Roman Pratama,1,2023-05-16 13:43:37,Jasa pengiriman sekarang sangat jauh berbeda dgn yg dlu semenjak Shopee express mengambil alih yg memakan wkt sangat lama karena memakai jalur laut biasanya wkt masih j&t hanya memakan wkt 3-4 hari sudah sampai. Sekarang butuh waktu 9 hari dgn jasa pengiriman Shopee express dan itupun pihak kurirnya sering membatalkan pesanan secara sepihak tanpa mencoba mengantar menghubungi terlebih dahulu
Ade Setiawan,1,2023-05-16 13:29:52,"Shopee parah banget sekarang, jaringan bagus tp buat buka beranda aja lemotnya minta ampun, liat profil lelet, liat ini itu lelet. Tolong dong di perbaiki untuk pihak developer harap diperhatikan ulasan2 pengguna shopee dibaca, dicek terimakasih"
Robbi Bae,2,2023-05-16 13:23:30,"Saatnya pindah aplikasi, voucher shopee live potongan 10k udah hilang, adm nya udah gede, makin rame makin tinggi biayanya, dulu cuma di sini harganya yg paling murah, terima kasih sebelumnya buat shoope, saatnya coba app lain"
Akbar Aulia A2,3,2023-05-16 13:01:34,Sangat membantu. Shoping ga perlu keluar rmh. Lebih hemat lg dg subsidi ongkir tapi ko lama2 aplikasinya jd lelet. Sekarang sdh ka sosmet ada vido2 lagi
Retno Hidayahtun Ningsih,2,2023-05-16 12:52:14,"Setelah saya update ke versi terbaru malah akun saya setiap hendak melakukan pembayaran dll selalu muncul sedang downloading karna memuat fitur fitur baru,saya kesal karna jadi terkendala"
kaum sejarah,2,2023-05-16 12:40:59,"sedikit cerita kenapa yah akhir akhir ini Shopee kurang baik yah ' sy pesan dua barang baju dan parfum barang sudah datang dan sy langsung bayar lunas eh besok nya lagi barang datang lagi dengan bungkusan yang sama alamat yang sama tp sy tolak karena sy (?) kemudian ada satu barang lagi pesan baju sudah lama barang tidak datang "" sampai sy ke drop point'nya di sanah sy datang mau ambil barang tp nihil Senin/ Selasa buka tp di aplikasinya tutup (?) ada apa ini dengan Shopee sy pelanggan yah"
Intan Gustianti,1,2023-05-16 12:33:53,"Kenapa sekarang shope jadi sering banget error,setiap mau top up atau mau transfer slalu keluar sndiri dari app.saya copot trus saya mencoba log in malah g bisa.malah ada notif bahwa akun saya di nonaktif padahal di akun saya ada saldo mohon segera perbaiki atas benar""ketidaknyamanan seperti ini tolongg dengan sebesar""nya"
Puji Arifin,2,2023-05-16 12:22:59,Tolong di perbaiki lg untuk kurir nya... Contohnya:di pintu kan di tulisin konfirmasi lewat WA ada di aplikasi Shopee tpi kurir nya tdk konfirmasi... Malahan alasan nya no tlp tdk aktif.. Padahal brg nya sy tunggu2..kurir Shopee nya kurang membaca Mksih...
081222245084 081222245084,5,2023-05-16 12:10:26,"Saya senang sekali dengan adanya shopee karena dishopee kumplit sekali,dan dapat mempermudah belanja,ketika barang yang dikirim rusak shopee ganti dengan yg baru."
Hayu Dwiminanti,1,2023-05-16 11:32:16,"Mau bayar pakai shoopepay aja banyak kali tingkahnya, yg gak bisa dimuat lah, uda dipenuhi syaratnya pun masih tetap tidak bisa. Sangat kecewa"
Andriano Theng,1,2023-05-16 11:04:55,Saya check out pilih pengiriman instan 2 jam Kok bisa tiba tiba berubah jadi pengiriman reguler aneh banget shopee sekarang Semakin di update semakin ga jelassssss ......
Ivan Barber,1,2023-05-16 10:53:09,"Udah login ulang, udah ckear cache, aplikasi ini emang lemot parah, tidak seperti aplikasi lain yang lancar lancar saja. Coba sharing sama yg bikin aplikasi lain, biar gak lemot, gak lelet."
